Model,Run Name,AUC,Accuracy,Precision,Recall,F1 Score,Run ID
CatBoost,catboost,0.869077017480843,0.8369230769230769,0.6746031746031746,0.33203125,0.44502617801047123,b9aad053d37f4f8a83039f03c4354bc6
LightGBM,lightgbm,0.8956836685823755,0.8653846153846154,0.7213114754098361,0.515625,0.6013667425968109,05fa9ecfabdb42d88f2605f7ef53a1b9
XGBoost,xgboost,0.896405801005747,0.8661538461538462,0.7277777777777777,0.51171875,0.6009174311926605,b2edd9ee47664ff6a759c1f3abf0c0f3
RandomForest,random_forest,0.8992831058429119,0.8607692307692307,0.7906976744186046,0.3984375,0.5298701298701298,e6fa5dc9581449d19c60c85da2fd87f9
